productId|productTypeId|isVirtual|isVariant|internalName|productName|brandName|productGroup(category)|quantityIncluded|MainUnit(quantityUomId)|altQuantityIncluded|AltUnit(altQuantityUomId)|ConversionFactor
PB0376|FINDIG_GOOD|N|N|MS Sleev H317|MS Sleev H317||consumable_items|1|UQC_pcs|||
PB0377|FINDIG_GOOD|N|N|MS Sleev H315|MS Sleev H315||consumable_items|1|UQC_pcs|||
PB0378|FINDIG_GOOD|N|N|Bearing 22218 K|Bearing 22218 K||consumable_items|1|UQC_pcs|||
PB0379|FINDIG_GOOD|N|N|Bearing 22217 K|Bearing 22217 K||consumable_items|1|UQC_pcs|||
PB0380|FINDIG_GOOD|N|N|Bearing 22215 K|Bearing 22215 K||consumable_items|1|UQC_pcs|||
PB0381|FINDIG_GOOD|N|N|Plumber Block UCP 212|Plumber Block UCP 212||consumable_items|1|UQC_pcs|||
PB0382|FINDIG_GOOD|N|N|Plumber Block UCP 210|Plumber Block UCP 210||consumable_items|1|UQC_pcs|||
PB0383|FINDIG_GOOD|N|N|Plumber Block UCP 208|Plumber Block UCP 208||consumable_items|1|UQC_pcs|||
PB0384|FINDIG_GOOD|N|N|Tyre Coupling TC-017|Tyre Coupling TC-017||consumable_items|1|UQC_pcs|||
PB0385|FINDIG_GOOD|N|N|Tyre Coupling TC-015|Tyre Coupling TC-015||consumable_items|1|UQC_pcs|||
PB0386|FINDIG_GOOD|N|N|Tyre Coupling TC-012|Tyre Coupling TC-012||consumable_items|1|UQC_pcs|||
PB0387|FINDIG_GOOD|N|N|Drum Spoter Roll 150X200X90X275 Bearing|Drum Spoter Roll 150X200X90X275 Bearing||consumable_items|1|UQC_pcs|||
PB0388|FINDIG_GOOD|N|N|Drum Spoter Roll 350X250X190X58 Bearing|Drum Spoter Roll 350X250X190X58 Bearing||consumable_items|1|UQC_pcs|||
PB0389|FINDIG_GOOD|N|N|Vibrater , Hojing shaft with Bearing 180|Vibrater , Hojing shaft with Bearing 180||consumable_items|1|UQC_pcs|||
PB0390|FINDIG_GOOD|N|N|Drum Tayar ring 1980X150X2130|Drum Tayar ring 1980X150X2130||consumable_items|1|UQC_pcs|||
PB0391|FINDIG_GOOD|N|N|Drum Tayar Ring 1350X100X40X14|Drum Tayar Ring 1350X100X40X14||consumable_items|1|UQC_pcs|||
PB0392|FINDIG_GOOD|N|N|Shaft Chakori 1940X75|Shaft Chakori 1940X75||consumable_items|1|UQC_pcs|||
PB0393|FINDIG_GOOD|N|N|Wheel Weight 350X40|Wheel Weight 350X40||consumable_items|1|UQC_pcs|||
PB0394|FINDIG_GOOD|N|N|Chain Mill Rooter circle OD 350X12 Shaft|Chain Mill Rooter circle OD 350X12 Shaft||consumable_items|1|UQC_pcs|||
PB0395|FINDIG_GOOD|N|N|Stoper 70X250X90 Bearing 6215|Stoper 70X250X90 Bearing 6215||consumable_items|1|UQC_pcs|||
PB0396|FINDIG_GOOD|N|N|Stoper 60X150X80 Bearing 6214|Stoper 60X150X80 Bearing 6214||consumable_items|1|UQC_pcs|||
PB0397|FINDIG_GOOD|N|N|Ruly 230X89X20|Ruly 230X89X20||consumable_items|1|UQC_pcs|||
PB0398|FINDIG_GOOD|N|N|Ruly 630X89X20|Ruly 630X89X20||consumable_items|1|UQC_pcs|||
PB0399|FINDIG_GOOD|N|N|Ruly 840X89X20|Ruly 840X89X20||consumable_items|1|UQC_pcs|||
PB0400|FINDIG_GOOD|N|N|Blor Shaft Coupling 830X75 Coupling 6215|Blor Shaft Coupling 830X75 Coupling 6215||consumable_items|1|UQC_pcs|||
PB0401|FINDIG_GOOD|N|N|MS Belt Conveyor|MS Belt Conveyor||assets|1|UQC_pcs|1|UQC_unt|1
PB0402|FINDIG_GOOD|N|N|MS Screw Conveery|MS Screw Conveery||assets|1|UQC_pcs|1|UQC_unt|1
PB0403|FINDIG_GOOD|N|N|MS Dryer Conveyor|MS Dryer Conveyor||assets|1|UQC_pcs|||
PB0404|FINDIG_GOOD|N|N|MS Big Granulater|MS Big Granulater||assets|1|UQC_pcs|||
PB0405|FINDIG_GOOD|N|N|MS Small Granulater|MS Small Granulater||assets|1|UQC_pcs|||
PB0406|FINDIG_GOOD|N|N|MS Jharna With Motor|MS Jharna With Motor||assets|1|UQC_pcs|||
PB0407|FINDIG_GOOD|N|N|SS 304 Steam Jacket With Gear Box|SS 304 Steam Jacket With Gear Box||assets|1|UQC_pcs|||
PB0408|FINDIG_GOOD|N|N|MS Fan Stand|MS Fan Stand||assets|1|UQC_pcs|||
PB0409|FINDIG_GOOD|N|N|MS Jjharna|MS Jjharna||assets|1|UQC_pcs|||
